client_id,product_type,transaction_date,amount,transaction_type,revenue
1,account,2025-02-20,110.54,transfer_out,1.63
1,account,2024-12-23,87.55,withdrawal,1.03
1,account,2025-01-17,12.33,deposit,0.0
1,account,2025-05-01,445.22,deposit,0.0
1,account,2025-07-10,560.5,transfer_out,7.91
1,account,2023-11-30,59.32,transfer_out,0.48
1,account,2024-12-18,70.81,deposit,0.0
1,account,2024-10-11,380.54,deposit,0.0
1,card,2024-04-23,69.97,purchase,1.4
1,card,2024-07-15,287.4,purchase,5.32
1,card,2023-12-24,49.99,purchase,0.51
1,card,2024-05-25,28.78,fee,0.34
1,card,2025-03-01,261.93,purchase,3.44
1,card,2024-11-12,23.34,purchase,0.45
1,card,2025-01-08,5.12,fee,0.06
1,loan,2025-04-19,67.77,repayment,0.42
1,loan,2025-07-27,126.1,fee,1.54
1,loan,2025-02-07,50.32,repayment,0.65
2,account,2023-01-09,31.72,withdrawal,0.34
2,account,2023-04-19,3.35,deposit,0.0
2,account,2024-01-29,72.62,deposit,0.0
2,account,2023-09-27,95.06,transfer_in,0.0
2,account,2022-07-18,220.69,transfer_out,3.04
2,account,2024-02-07,94.64,,
2,card,,55.17,purchase,-999.0
2,card,,121.56,purchase,1.92
2,card,,2.77,withdrawal,0.04
2,card,,2.43,,
2,card,,93.2,refund,-1.1
3,account,2024-03-20,71.1,deposit,0.0
3,account,2024-02-09,330.69,transfer_out,2.4
3,account,2024-07-19,48.91,withdrawal,0.75
3,account,2024-06-21,27.04,deposit,0.0
3,card,2025-05-06,83.64,purchase,1.2
3,card,2024-05-04,55.72,purchase,0.97
3,card,2024-06-30,59.91,fee,0.94
3,card,2023-08-16,34.27,fee,0.59
3,card,2024-01-30,8.36,purchase,0.14
3,loan,2024-11-03,295.73,repayment,2.5
3,loan,2024-09-17,23.46,repayment,0.23
3,loan,2025-07-20,93.83,repayment,0.85
4,account,2024-03-09,74.2,transfer_in,0.0
4,account,2024-07-23,161.07,transfer_out,0.95
4,account,2024-12-17,129.48,,
4,account,2024-11-21,100.65,deposit,0.0
4,account,2024-12-25,51.4,transfer_in,0.0
4,account,2023-11-03,9.56,transfer_out,0.12
4,account,2023-12-28,214.64,transfer_out,3.21
4,account,2025-04-05,335.21,transfer_out,2.92
4,card,2023-09-11,152.71,purchase,2.14
4,card,2025-04-14,227.77,purchase,2.89
4,card,2024-10-10,34.59,purchase,0.43
4,card,2024-01-07,20.92,purchase,0.37
4,card,2024-04-08,249.12,purchase,4.15
4,card,2025-02-19,302.56,purchase,4.96
4,card,2025-02-21,4.88,fee,0.06
4,card,2023-09-23,57.95,purchase,0.0
4,card,2024-09-27,62.83,purchase,-999.0
5,account,2023-02-18,20.3,transfer_in,0.0
5,account,2022-09-15,103.6,transfer_out,0.82
5,account,2024-01-15,0.32,deposit,0.0
5,account,2022-10-24,-100.0,deposit,0.0
5,account,2023-03-16,98.32,deposit,0.0
5,loan,2023-09-21,2.67,repayment,0.03
5,loan,2023-01-04,97.92,interest,0.99
6,account,2024-04-22,399.61,deposit,0.0
6,account,2023-02-14,21.48,deposit,0.0
6,account,2022-08-09,99999.0,transfer_out,1090.03
6,account,2023-07-06,71.2,deposit,0.0
7,account,2023-01-28,287.58,transfer_out,3.49
7,account,2023-07-23,179.66,withdrawal,2.28
7,account,2023-04-20,52.25,withdrawal,0.81
7,account,2023-09-25,151.35,withdrawal,1.6
7,account,2023-10-23,49.6,withdrawal,0.59
7,account,2023-06-26,115.52,deposit,0.0
7,account,2023-02-12,208.23,deposit,0.0
7,account,2023-03-31,0.0,deposit,0.0
7,account,2023-08-01,10.43,transfer_out,0.08
7,card,2024-07-31,18.08,purchase,0.32
7,card,2024-04-27,54.83,purchase,0.98
7,card,2023-04-08,629.98,fee,11.57
7,loan,2022-11-21,25.87,repayment,0.34
7,loan,2022-11-16,156.5,repayment,2.28
7,loan,2024-02-06,25.59,repayment,0.26
7,loan,2022-07-14,215.71,fee,2.64
7,loan,2023-11-15,38.42,repayment,0.2
7,loan,2023-09-11,68.68,interest,0.98
7,loan,2023-06-13,154.35,repayment,2.03
8,account,2024-10-05,82.53,transfer_out,0.95
8,account,2025-01-19,80.93,transfer_in,0.0
8,account,2023-11-18,157.59,withdrawal,3.14
8,account,2023-11-13,116.02,,
8,account,2023-07-26,199.61,withdrawal,3.33
8,account,2023-10-12,57.06,deposit,0.0
8,loan,2024-05-20,115.77,interest,1.24
8,loan,2024-09-22,99999.0,repayment,1218.65
8,loan,2023-09-20,324.71,repayment,3.06
8,loan,2023-12-13,3.03,repayment,0.04
8,loan,2023-07-01,24.09,repayment,0.23
9,account,,90.96,deposit,0.0
9,account,,31.82,withdrawal,0.52
9,account,,53.33,withdrawal,0.73
9,account,,41.94,transfer_out,0.37
9,account,,73.18,withdrawal,1.12
9,account,,85.05,deposit,0.0
9,account,,275.11,withdrawal,3.59
9,account,,-100.0,withdrawal,-1.67
9,card,,48.35,,
9,card,,36.5,,
9,card,,60.53,withdrawal,0.93
9,card,,136.84,purchase,2.37
9,card,,17.1,purchase,0.3
9,card,,113.64,fee,1.92
9,card,,52.07,purchase,1.0
9,loan,,21.83,repayment,0.21
9,loan,,54.81,fee,1.02
9,loan,,105.28,repayment,1.37
9,loan,,169.14,interest,3.23
9,loan,,57.74,repayment,0.52
9,loan,,211.61,interest,4.05
10,account,2023-04-12,0.0,deposit,0.0
10,account,2024-10-06,-100.0,withdrawal,-1.46
10,account,2023-12-12,183.38,transfer_out,1.64
10,account,2023-04-02,475.2,deposit,0.0
10,account,2024-07-06,19.17,transfer_in,0.0
10,card,2023-06-25,-100.0,purchase,-1.54
11,card,2024-07-12,-100.0,withdrawal,
11,card,2024-06-06,124.93,purchase,1.86
11,card,2025-07-24,71.78,fee,1.11
11,card,2023-12-28,101.89,fee,1.07
11,card,2024-02-27,15.23,,
11,card,2024-07-08,16.62,purchase,0.26
11,card,2024-06-21,108.4,purchase,1.76
12,account,2023-07-08,25.94,transfer_out,0.15
12,account,2023-10-17,524.17,,
12,account,2022-12-03,49.59,withdrawal,0.88
12,account,2022-11-24,-100.0,transfer_out,-0.66
12,account,2023-10-28,87.14,transfer_out,0.68
12,card,2023-01-05,121.64,purchase,1.92
12,card,2023-08-09,3.73,purchase,0.07
12,card,2023-07-06,10.38,purchase,0.12
12,card,2023-01-10,194.7,purchase,1.99
12,card,2023-06-28,25.64,purchase,
12,card,2022-07-20,34.42,fee,0.6
12,card,2023-04-24,-100.0,purchase,-1.68
13,account,2023-06-26,66.51,withdrawal,0.7
13,account,2023-02-19,99999.0,deposit,0.0
13,account,2023-10-26,53.9,transfer_in,0.0
13,account,2023-10-10,95.31,transfer_out,1.18
13,account,2023-05-11,99999.0,,
13,loan,2024-02-07,8.3,repayment,0.07
13,loan,2022-09-20,140.69,fee,0.0
13,loan,2024-01-19,23.34,repayment,0.23
13,loan,2024-01-29,42.51,repayment,0.63
13,loan,2022-08-23,31.92,repayment,0.19
14,card,2024-10-13,62.29,fee,0.75
14,card,2023-11-06,62.93,purchase,0.89
14,card,2024-07-14,40.38,withdrawal,0.69
15,card,2023-09-17,14.82,withdrawal,0.29
15,card,2023-03-03,131.29,withdrawal,2.18
15,card,2023-04-05,24.54,purchase,0.32
15,loan,2023-08-03,64.13,repayment,0.77
15,loan,2024-03-12,67.13,repayment,0.88
15,loan,2022-10-18,116.74,repayment,0.71
16,card,2023-05-08,82.94,purchase,1.41
16,card,2023-10-23,100.64,purchase,1.43
16,card,2024-05-30,10.17,purchase,0.15
16,card,2024-11-17,15.62,purchase,0.22
16,card,2023-12-31,0.0,fee,0.0
17,card,2024-09-14,0.65,purchase,0.01
17,card,2023-10-27,21.04,withdrawal,0.28
17,card,2023-10-23,39.65,purchase,0.72
17,card,2025-02-19,49.53,purchase,0.65
17,card,2024-04-10,72.4,withdrawal,1.34
17,card,2023-10-12,195.92,purchase,2.73
17,card,2024-02-17,240.24,purchase,4.78
17,card,2025-04-26,198.45,purchase,3.12
17,loan,2025-03-07,42.85,repayment,0.55
17,loan,2024-05-29,45.48,repayment,0.38
17,loan,2024-10-29,10.37,repayment,0.13
17,loan,2024-08-23,90.94,fee,1.06
17,loan,2024-04-06,306.46,fee,3.96
17,loan,2025-03-14,79.01,repayment,0.94
17,loan,2024-07-07,99999.0,repayment,1136.04
17,loan,2025-04-16,152.33,repayment,1.64
17,loan,2024-05-07,99999.0,repayment,599.45
17,loan,2024-11-09,107.48,repayment,1.25
17,loan,2023-11-29,299.36,repayment,3.69
17,loan,2024-02-12,98.14,repayment,0.49
18,account,2023-07-13,13.1,withdrawal,0.25
18,account,2023-10-17,172.83,withdrawal,
18,account,2022-07-21,38.73,transfer_in,0.0
18,account,2024-03-04,176.63,withdrawal,2.18
18,account,2022-09-16,80.96,deposit,0.0
18,card,2023-04-05,22.58,purchase,0.24
18,card,2024-01-02,423.73,fee,7.13
18,card,2023-09-27,25.11,purchase,0.38
18,card,2022-08-27,342.36,purchase,4.29
18,card,2023-09-02,10.27,purchase,0.13
18,card,2022-08-05,133.39,purchase,1.34
18,card,2023-12-04,157.84,purchase,1.6
18,card,2022-10-01,5.68,purchase,0.06
18,loan,2023-02-08,176.2,repayment,1.09
18,loan,2023-11-21,28.04,repayment,0.25
18,loan,2024-02-19,9.34,repayment,0.11
18,loan,2023-08-18,13.37,repayment,0.2
18,loan,2023-12-24,127.92,repayment,1.72
18,loan,2022-09-27,16.63,fee,0.24
19,card,2024-08-14,35.83,purchase,0.53
19,card,2025-08-09,84.85,purchase,0.85
19,card,2024-07-25,59.4,fee,0.88
